"GSM","SRR","group","OA_status","patient_id","patient_id_uncertainty","Salmon_quant_path","Galaxy_dataset_id","mapping_rate","library_type","FastQC_status","batch","final_quant_valid","final_decision"
"GSM8655570","SRR31542956","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542956_quant.sf","formal Galaxy output; local export retained",88.724,"IU","ok","batch03",TRUE,"KEEP"
"GSM8655571","SRR31542955","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542955_quant.sf","formal Galaxy output; local export retained",90.016,"IU","ok","batch03",TRUE,"KEEP"
"GSM8655572","SRR31542954","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542954_quant.sf","formal Galaxy output; local export retained",91.3638,"IU","ok","batch03",TRUE,"KEEP"
"GSM8655573","SRR31542953","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542953_quant.sf","formal Galaxy output; local export retained",87.6174,"IU","ok","batch04",TRUE,"KEEP"
"GSM8655574","SRR31542952","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542952_quant.sf","formal Galaxy output; local export retained",91.4585,"IU","ok","batch04",TRUE,"KEEP"
"GSM8655575","SRR31542951","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542951_quant.sf","formal Galaxy output; local export retained",90.1541,"IU","ok","batch04",TRUE,"KEEP"
"GSM8655576","SRR31542950","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542950_quant.sf","formal Galaxy output; local export retained",92.154,"IU","ok","batch04",TRUE,"KEEP"
"GSM8655577","SRR31542949","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542949_quant.sf","formal Galaxy output; local export retained",91.6908,"IU","ok","batch04",TRUE,"KEEP"
"GSM8655578","SRR31542948","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542948_quant.sf","formal Galaxy output; local export retained",87.1909,"IU","ok","batch04",TRUE,"KEEP"
"GSM8655579","SRR31542947","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542947_quant.sf","formal Galaxy output; local export retained",87.4959,"IU","ok","batch05",TRUE,"KEEP"
"GSM8655580","SRR31542946","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542946_quant.sf","formal Galaxy output; local export retained",88.1435,"IU","ok","batch05",TRUE,"KEEP"
"GSM8655581","SRR31542945","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542945_quant.sf","formal Galaxy output; local export retained",87.4141,"IU","ok","pilot",TRUE,"KEEP"
"GSM8655582","SRR31542944","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542944_quant.sf","formal Galaxy output; local export retained",71.2087,"IU","ok","batch05",TRUE,"QC-FLAG-BUT-KEEP"
"GSM8655583","SRR31542943","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542943_quant.sf","formal Galaxy output; local export retained",90.6619,"IU","ok","batch05",TRUE,"KEEP"
"GSM8655584","SRR31542942","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542942_quant.sf","formal Galaxy output; local export retained",90.653,"IU","ok","batch05",TRUE,"KEEP"
"GSM8655585","SRR31542941","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542941_quant.sf","formal Galaxy output; local export retained",88.9021,"IU","ok","batch05",TRUE,"KEEP"
"GSM8655586","SRR31542940","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542940_quant.sf","formal Galaxy output; local export retained",89.7715,"IU","ok","batch06",TRUE,"KEEP"
"GSM8655587","SRR31542939","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542939_quant.sf","formal Galaxy output; local export retained",89.0262,"IU","ok","batch06",TRUE,"KEEP"
"GSM8655588","SRR31542938","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542938_quant.sf","formal Galaxy output; local export retained",88.1366,"IU","ok","batch06",TRUE,"KEEP"
"GSM8655589","SRR31542937","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542937_quant.sf","formal Galaxy output; local export retained",87.8539,"IU","ok","batch06",TRUE,"KEEP"
"GSM8655590","SRR31542936","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542936_quant.sf","formal Galaxy output; local export retained",91.4431,"IU","ok","batch06",TRUE,"KEEP"
"GSM8655591","SRR31542935","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542935_quant.sf","formal Galaxy output; local export retained",83.7267,"IU","ok","batch06",TRUE,"KEEP"
"GSM8655592","SRR31542934","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542934_quant.sf","formal Galaxy output; local export retained",88.3789,"IU","ok","batch06",TRUE,"KEEP"
"GSM8655593","SRR31542933","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542933_quant.sf","formal Galaxy output; local export retained",89.7664,"IU","ok","batch07",TRUE,"KEEP"
"GSM8655594","SRR31542932","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542932_quant.sf","formal Galaxy output; local export retained",86.898,"IU","ok","batch07",TRUE,"KEEP"
"GSM8655595","SRR31542931","OA","OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542931_quant.sf","formal Galaxy output; local export retained",90.2352,"IU","ok","pilot",TRUE,"KEEP"
"GSM8655596","SRR31542930","non_OA","non-OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542930_quant.sf","formal Galaxy output; local export retained",88.7158,"IU","ok","batch07",TRUE,"KEEP"
"GSM8655597","SRR31542929","non_OA","non-OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542929_quant.sf","formal Galaxy output; local export retained",90.2833,"IU","ok","batch07",TRUE,"KEEP"
"GSM8655598","SRR31542928","non_OA","non-OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542928_quant.sf","formal Galaxy output; local export retained",90.3064,"IU","ok","batch07",TRUE,"KEEP"
"GSM8655599","SRR31542927","non_OA","non-OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542927_quant.sf","formal Galaxy output; local export retained",89.5118,"IU","ok","batch07",TRUE,"KEEP"
"GSM8655600","SRR31542926","non_OA","non-OA",NA,"patient-level identity not independently confirmed from public run manifest","PROJECT_ROOT/04_结果/Stage2B基因矩阵/Galaxy_quant/SRR31542926_quant.sf","formal Galaxy output; local export retained",91.1025,"IU","ok","batch07",TRUE,"KEEP"
